trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.5, 'e': 0.8684280445126921}",25,-42,-275.88580157490367,"{0: 44, 1: 4, 2: 14, 3: 1, 4: 4}",0
142,False,"{'a': 0.5, 'e': 0.8675596164681794}",20,-41,-266.0557762433743,"{0: 34, 1: 4, 2: 19, 3: 3, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.8666920568517111}",25,-100,-577.4657744384932,"{0: 81, 1: 6, 2: 25, 3: 5, 4: 8}",0
144,False,"{'a': 0.5, 'e': 0.8658253647948594}",20,7,-84.73736623162692,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.8649595394300645}",25,-48,-385.32782621681645,"{0: 47, 1: 7, 2: 8, 3: 5, 4: 6}",0
146,False,"{'a': 0.5, 'e': 0.8640945798906344}",20,-23,-143.53409164273208,"{0: 29, 1: 5, 2: 5, 3: 2, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.8632304853107438}",20,-46,-277.3485423385092,"{0: 42, 1: 7, 2: 9, 3: 5, 4: 3}",0
148,False,"{'a': 0.5, 'e': 0.862367254825433}",20,-53,-279.2435415175472,"{0: 46, 1: 8, 2: 13, 3: 3, 4: 3}",0
149,False,"{'a': 0.5, 'e': 0.8615048875706075}",20,6,-30.754085477807845,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.8606433826830369}",30,2,22.403931356926336,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.8597827393003539}",20,-54,-165.01682811349687,"{0: 55, 1: 6, 2: 7, 3: 4, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.8589229565610536}",30,-22,-253.06094341911958,"{0: 31, 1: 6, 2: 9, 3: 3, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.8580640336044925}",30,12,-28.107763597773438,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.857205969570888}",30,-26,-209.03771925642639,"{0: 43, 1: 2, 2: 4, 3: 3, 4: 4}",0
155,False,"{'a': 0.5, 'e': 0.8563487636013172}",20,-10,-158.91840981133657,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
156,False,"{'a': 0.5, 'e': 0.8554924148377159}",20,-11,-228.59254772709772,"{0: 17, 1: 1, 2: 7, 3: 3, 4: 3}",0
157,False,"{'a': 0.5, 'e': 0.8546369224228781}",20,-31,-100.46244169470228,"{0: 35, 1: 7, 2: 8, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.8537822855004553}",20,-69,-318.3455224102517,"{0: 60, 1: 6, 2: 15, 3: 4, 4: 4}",0
159,False,"{'a': 0.5, 'e': 0.8529285032149548}",25,4,-104.2747854826745,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 2}",1
160,False,"{'a': 0.5, 'e': 0.8520755747117399}",20,5,-53.22029948308655,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.8512234991370281}",30,-47,-288.1648287357194,"{0: 51, 1: 4, 2: 17, 3: 1, 4: 4}",0
162,False,"{'a': 0.5, 'e': 0.8503722756378911}",20,3,-104.38975622054494,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
163,False,"{'a': 0.5, 'e': 0.8495219033622532}",20,-14,-119.58649108348904,"{0: 21, 1: 1, 2: 11, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.8486723814588909}",20,-77,-356.7190052966252,"{0: 67, 1: 4, 2: 17, 3: 4, 4: 5}",0
165,False,"{'a': 0.5, 'e': 0.847823709077432}",20,-8,-18.951486410638104,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.8469758853683546}",25,-19,-68.7609400079567,"{0: 30, 1: 6, 2: 7, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.8461289094829862}",20,-36,-209.96539268192856,"{0: 39, 1: 3, 2: 8, 3: 3, 4: 3}",0
168,False,"{'a': 0.5, 'e': 0.8452827805735033}",20,-11,-182.50935402980102,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 3}",0
169,False,"{'a': 0.5, 'e': 0.8444374977929298}",20,9,-3.395788614814257,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.8435930602951368}",30,14,-33.60471559253465,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.8427494672348417}",25,2,-104.25221711090502,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.8419067177676068}",25,-32,-171.26019404197723,"{0: 40, 1: 6, 2: 7, 3: 1, 4: 3}",0
173,False,"{'a': 0.5, 'e': 0.8410648110498392}",20,1,-55.93615972360129,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.8402237462387894}",25,-7,-217.58433391001066,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.8393835224925505}",25,-3,-57.66109458718243,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.838544138970058}",20,-13,-124.75501202340578,"{0: 20, 1: 5, 2: 5, 3: 2, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.8377055948310879}",20,-33,-201.71442298807438,"{0: 36, 1: 2, 2: 11, 3: 1, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.8368678892362568}",30,16,-35.93726981748419,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
